dataset,model,level,feature_set,threshold_value,precision_normal,recall_normal,f1_score_normal,precision_anomalous,recall_anomalous,f1_score_anomalous
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-0.75,0.8389586632741193,0.6915195597689877,0.7581320600647276,0.4895392400612276,0.6902631578947369,0.5728190616054925
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-0.5,0.8246070569437306,0.7319587011005775,0.7755242008080807,0.5044768363382219,0.6367264174930078,0.5629359487877734
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-0.25,0.811170248642231,0.751145254440449,0.7799942755726893,0.5047209101727853,0.5919005847953216,0.544820758934882
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,0.0,0.733478408536493,0.785889724310777,0.758780089844384,0.40044565968837204,0.3336791253496059,0.36402627998174697
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,0.25,0.6973173288051833,0.8351051541898225,0.7600121780609521,0.28609901800192616,0.15418764302059496,0.2003532128116893
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,0.5,0.6967274420723101,0.8914705241364281,0.7821562718751429,0.2718400958169233,0.09457030256801424,0.1402915293534494
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,0.75,0.6973323478739477,0.9256183938106135,0.7954174882127255,0.2650305685720734,0.06258072718026951,0.10121973458493147
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,1.0,0.6982911034632068,0.9470540481638879,0.8038656666253639,0.26793411641913023,0.04522120518688024,0.07735774433765644
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,1.25,0.6989803173763275,0.9607763975155279,0.8092306115391785,0.2740987294035704,0.03455250444952962,0.06134922970580955
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,1.5,0.6994255352090114,0.9722234935163996,0.8135644796419118,0.2794081647966081,0.025115687770150014,0.04606666700602508
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,1.75,0.6998585336595199,0.9825672877846792,0.8174596506195215,0.29202224460883186,0.016770912789219425,0.031704618989770283
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,2.0,0.7000558042581593,0.9897482837528605,0.8200698632857639,0.30575917220775667,0.010514874141876431,0.020318937079981548
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,2.25,0.700076392164579,0.9939860520867386,0.8215352986084851,0.31286293109798136,0.006375540300025425,0.012491821396972016
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,2.5,0.7000343251786594,0.9967189713413969,0.8224382459063028,0.3108483665579377,0.0034439359267734553,0.006808843388685896
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-1.5,0.6933046265017075,0.0029895390650539395,0.0059461854263848585,0.3006050110614469,0.9998804983473176,0.46224103711869136
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-1.25,0.78446216095997,0.10274762994442628,0.18154801763414444,0.30846225614074363,0.9338494787693872,0.4637370198794333
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-1.0,0.7908624669737365,0.2824871962514983,0.4162828321558535,0.3302928143585533,0.8256966692092551,0.4718411028158315
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-0.75,0.8128432706711382,0.5033175329628419,0.6216420207114908,0.3863703068386329,0.729602084922451,0.5051843480244032
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-0.5,0.7939454545546438,0.6341179034542879,0.7050735555943172,0.4191174113067241,0.6159623696923469,0.4988067668561732
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,-0.25,0.7602340768201092,0.7210717009916094,0.7401288091824315,0.41893660580680037,0.4693173150266972,0.44268326859510143
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,0.0,0.7298576150521231,0.7819903018415604,0.7550251190194377,0.3895728451563692,0.32464403763030764,0.3541571319603356
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,0.25,0.71285989534883,0.8299607714939523,0.7669651875446681,0.35663740096181107,0.2199440630561912,0.27208000621751155
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,0.5,0.7068247059076262,0.8723068540917511,0.7808934372182115,0.34332832231555377,0.1557678616831935,0.21428962275544844
