dataset,model,level,feature_set,threshold_value_mean,separation_score,predicted_anomaly_rate_mean,predicted_anomaly_rate_std,precision_anomalous_mean,precision_anomalous_std,recall_anomalous_mean,recall_anomalous_std,f1_score_anomalous_mean,f1_score_anomalous_std,precision_normal_mean,precision_normal_std,recall_normal_mean,recall_normal_std,f1_score_normal_mean,f1_score_normal_std
BPI_Challenge_2012,LOF,L3_Global,pure_cyclical,4.193623272577922,0.6211355374768828,5.238176964149504,0.1283202868207726,0.08465359329050859,0.005377867089693056,0.043792020156166386,0.002548236869037466,0.057713683757042736,0.003375298658445209,0.897867120526825,0.0013673997832885454,0.9466502839041242,0.0014562980270031358,0.9216127122829146,0.0010389344997036028
RequestForPayment,DBSCAN,L1_Micro,cum_z_cum_t,,0.0,1.3825850680599259,0.1478260183091444,0.22505055436990112,0.022139381730895746,0.030522523733977746,0.005439737659236777,0.05369579589670257,0.008963859191878034,0.8992014452411115,0.0035275087553983276,0.9880780355510204,0.00114746560569929,0.9415436365408464,0.002038394325857424
RequestForPayment,DBSCAN,L1_Micro,delta_cyclical,,0.0,4.178890639339726,0.7927625677800391,0.3822617523975912,0.06680138358018674,0.15992354499516476,0.06640396328643837,0.22387477089219696,0.07360889336920315,0.9101898797707809,0.006814002153963847,0.9717468056064377,0.001591704500553477,0.9399475949137773,0.003441022405521442
RequestForPayment,DBSCAN,L1_Micro,delta_t,,0.0,1.318712717952721,0.12898827066678184,0.2056706449611247,0.04588940035942361,0.02655778300805795,0.007047607508662114,0.04701148682134012,0.01219195468056604,0.8988652700623924,0.0032332583663215895,0.988349631347068,0.0011046480065464792,0.9414836341541528,0.002027428998288897
RequestForPayment,DBSCAN,L1_Micro,delta_z_micro,,0.0,1.3649323910259055,0.13368712866053717,0.20457333468090305,0.04428860944220071,0.02735147054546206,0.007178659882275733,0.04822088873266332,0.012340267778087092,0.8989003782141062,0.003235890510185414,0.9879252551554609,0.0011252370954041606,0.9413103920538152,0.002058118905711756
RequestForPayment,DBSCAN,L1_Micro,omni_fusion_cyclical,,0.0,1.2725570567376723,0.4308932257008594,0.2717649282317158,0.052194812597239855,0.03460865920430577,0.015316872662053454,0.06082799325684516,0.024981653509654696,0.899743589717614,0.003619476034091655,0.9897731334199739,0.0032291590002771937,0.9426071609576585,0.0023113233682255153
RequestForPayment,DBSCAN,L1_Micro,pure_cyclical,,0.0,11.06749683831525,0.4394940153390982,0.5621364276884863,0.012447475257505431,0.6067187962806299,0.016026239300269675,0.5834228899529494,0.009953645447819787,0.9546609236268917,0.0023282082888014055,0.9459958553469541,0.00278540988714361,0.9503048374966501,0.0016115611002741267
RequestForPayment,DBSCAN,L2_Activity,cum_z_cum_t,,0.0,1.3519021739130435,0.18287794483306144,0.23724395441035556,0.028017422307810163,0.03128596540122792,0.005705898680046121,0.05518458888005433,0.00936389836671031,0.8992904380991835,0.003520805294033097,0.9885082475909256,0.00161248663896465,0.9417875883347587,0.002133592480947205
RequestForPayment,DBSCAN,L2_Activity,delta_cyclical,,0.0,4.080163043478261,0.8853917626876834,0.3977158664217447,0.060581002640509696,0.16187521885552447,0.06488034102744691,0.22804185911782215,0.07039896732952701,0.9104658770347351,0.006695519746480464,0.9730638531361964,0.0029992656853731984,0.9407067024488553,0.003130292874355736
RequestForPayment,DBSCAN,L2_Activity,delta_t,,0.0,1.0896739130434783,0.13263047259219654,0.1396453041878202,0.030356687665839314,0.014858446241177764,0.003908082228462309,0.02681951191158129,0.006814266345785458,0.89785486813934,0.0035273937625273466,0.989553994362794,0.001298355486702951,0.9414730883556757,0.0019923290267282873
RequestForPayment,DBSCAN,L2_Activity,delta_z_micro,,0.0,1.3192934782608696,0.19240993966626999,0.21349202469018547,0.045262754409583945,0.027749258533884637,0.008376328077763505,0.04900412837075652,0.014085443228501734,0.8989538639882172,0.0036623231273443927,0.9884641894060581,0.0016129294941616286,0.9415820842129504,0.002047009504003985
RequestForPayment,DBSCAN,L2_Activity,omni_fusion_cyclical,,0.0,1.0394021739130435,0.4224477843012525,0.2270980358075776,0.06434758864609907,0.023425551443097735,0.011905172466281368,0.041987448838179765,0.020109769110387934,0.898801112124764,0.003447893563758882,0.9910985386634055,0.003621285020735358,0.9426890054102932,0.002268972782542582
RequestForPayment,DBSCAN,L2_Activity,pure_cyclical,,0.0,11.179347826086957,0.5856873131240452,0.5744426963150324,0.01744744106420996,0.625726978384056,0.019640191975425225,0.5987850980572709,0.014279192610740716,0.9568015229268264,0.002380370513449112,0.9469445336400021,0.004093267969940504,0.951842623634089,0.0024692718984659495
RequestForPayment,IsolationForest,L1_Micro,cum_z_cum_t,0.2049984327248572,1.3965232855841783,20.859608406847386,0.9490062731452846,0.2659266811508812,0.017330327557881293,0.5412884708708883,0.04306460666734569,0.3563677798210725,0.02284999429394885,0.9406289257969753,0.005210365775138525,0.8294343683962502,0.0074529469344474806,0.8815042376811381,0.003204726723813923
RequestForPayment,IsolationForest,L1_Micro,delta_cyclical,0.19561512283154503,0.8518527839038279,31.307302798737407,0.5583990968440181,0.29084553558426923,0.009656167278003213,0.8880463638596607,0.012727631671777241,0.43807981319777883,0.01093457947400254,0.9832835742812576,0.00204813027089964,0.7526116713960491,0.0057859157175797205,0.8526068541581011,0.0034515095590544925
RequestForPayment,IsolationForest,L1_Micro,delta_t,0.19104695765544935,1.8338164789102016,31.37092405392429,1.3362188808683564,0.30172750137107107,0.01561922009471686,0.9218613828313025,0.009088433688113712,0.45443699437050944,0.01768399238990018,0.9883379944133857,0.0012550930233858786,0.7557817016960999,0.014672022879996737,0.8564814233502348,0.009411859626592611
RequestForPayment,IsolationForest,L1_Micro,delta_z_micro,0.19252356677970384,2.042679821312224,30.997310609575322,1.189692574119862,0.3051988068501761,0.01479238977203273,0.9216117481565306,0.009392689489963219,0.45833288609347955,0.01629247895838877,0.988369913311011,0.001238663029739651,0.7599186063529804,0.012886870333839775,0.8591577403812852,0.007916193024245663
RequestForPayment,IsolationForest,L1_Micro,omni_fusion_cyclical,0.19463940799905616,0.9463427468233295,35.91594637326709,1.0048097628296264,0.2684082309409171,0.010816696098440366,0.9397020937307641,0.007383811278763052,0.4174425784817461,0.01304719922279036,0.9903463201988767,0.0012787286112216094,0.7071629076252615,0.010972809703260939,0.8250910486588052,0.0074382147142025715
RequestForPayment,IsolationForest,L1_Micro,pure_cyclical,0.2040684867850516,0.9823836152664128,23.302678931294246,0.47535014675869247,0.3240470128914669,0.011985337253019231,0.7365414959466406,0.021505770289374466,0.4499130877527223,0.01273335574015426,0.964776612736365,0.0031404407305437873,0.8244931915077999,0.00452213826719015,0.8891225664503819,0.0019415936873969264
RequestForPayment,IsolationForest,L2_Activity,cum_z_cum_t,0.4892733025088485,1.6872363915357294,23.096467391304348,1.3093930768107311,0.25545335009457876,0.017509127962578967,0.5756395795917632,0.05197400581765485,0.3536062374972345,0.024821332456761956,0.9435372585096184,0.005974356555236116,0.8084724787824188,0.009973025754996511,0.8707428232901568,0.004682523408337785
RequestForPayment,IsolationForest,L2_Activity,delta_cyclical,0.5036212827850559,1.4990794549807873,32.161684782608695,0.8219441173439572,0.2955609282154539,0.011205401709089458,0.9265689091296261,0.011145954603033423,0.4480143821733714,0.012185985568597391,0.9888984554377125,0.0017702433155588199,0.7475133350194958,0.008765010438318574,0.8513955302557665,0.005178447945959948
RequestForPayment,IsolationForest,L2_Activity,delta_t,0.41738256596546297,1.7119967044950264,34.578804347826086,1.5519558636541555,0.2877359460808611,0.012039984345339025,0.96905159610141,0.0037115409621629805,0.44359177666274113,0.014234606288139282,0.99513505434228,0.0007253919101460597,0.7254107411898951,0.01633343136220367,0.8390387192257445,0.011047807950444199
RequestForPayment,IsolationForest,L2_Activity,delta_z_micro,0.4255198431052915,1.6924622748462628,34.39538043478261,1.5047447853245264,0.2886041910005312,0.012885711598017676,0.966749248924786,0.006660176272822148,0.4443425974855743,0.014984542844037253,0.9948115280598596,0.000983290027734549,0.7272103801793672,0.015865517892794005,0.8401263116234603,0.010433105690844711
RequestForPayment,IsolationForest,L2_Activity,omni_fusion_cyclical,0.45985202240833634,1.4575834562138792,39.65625,0.7457315369696009,0.25531861486326723,0.007843301252884448,0.9872207157666851,0.003970055592603108,0.4056535870301922,0.009875274930393528,0.9978090674506532,0.0007419419717706244,0.6709215171136604,0.00791243139812479,0.8023263069276301,0.005823489189699084
RequestForPayment,IsolationForest,L2_Activity,pure_cyclical,0.5425882408063644,1.8959437078906176,23.091032608695652,0.534084348477462,0.3352298813976035,0.014075234796972634,0.7545761361115555,0.016802028378599298,0.46411407802756627,0.015536888171279744,0.9672805934073722,0.0023902872027559666,0.8289405624711053,0.005870061757792782,0.8927737555237648,0.0037870873504704428
RequestForPayment,IsolationForest,L3_Global,cum_z_cum_t,0.5166139555603385,1.1337267566629163,17.157608695652176,2.7995710614341127,0.37141439507932034,0.017905540121556072,0.6231751393403946,0.11487887909616024,0.46283893372316876,0.04165050723649196,0.953746810330885,0.012824084318355898,0.880048313630202,0.018378798907632176,0.9151821390419815,0.005036496796222824
